,0r,1r,2r,3r,4r,5r,6r,7r,8r,9r,10r,11r,12r,13r,14r,15r,16r,17r,18r,19r,20r,21r,22r,23r,0i,1i,2i,3i,4i,5i,6i,7i,8i,9i,10i,11i,12i,13i,14i,15i,16i,17i,18i,19i,20i,21i,22i,23i
5004,0.2184746019410484,-0.7581364006221618,0.21161900018154653,-0.27902150022292427,0.08823060981925208,0.6053931324079744,0.2580733271131528,0.08706021506529042,-0.152072461050865,-0.14623901399360928,0.02322001491517503,-0.026008957598481337,0.06341394154959222,-0.09303912895928619,0.100050913267562,0.09077800152042752,0.005773286141482264,0.04745048391865363,0.11010053779213992,0.02270777705051673,0.029495611437858883,-0.020452641639367747,0.009170934231095182,-0.036428162731307105,0.028778694279679846,-0.27591939571143936,0.012187142123254708,-0.008568236389736668,-0.14715559926600566,0.8884981383505834,0.1220974674648406,-0.05414126104677036,0.14715471946123654,-0.03756181691521743,-0.20782729349253753,-0.0615218757609207,-0.15685284326107538,0.02393007990472811,-0.0775639400761626,-0.03331999861813481,-0.032150067258501766,0.07159090465797086,-0.08172237022636493,-0.021962747833807902,-0.028167166310194277,-0.00887046228696212,-0.013070100700858671,-0.032222820232682144
5009,0.24462658751832536,-0.6178399031460318,0.1649647447358134,-0.21030204732420504,0.08917390223643461,0.5669445343388319,0.3884519109691442,0.12546256514825324,-0.15556275938431174,-0.022203529975249336,-0.012175157001759253,-0.03945526755162678,0.06454648175163694,-0.07289441418515144,0.04342227565650389,0.0790158061813946,0.06939363393639525,0.07648001936463905,0.08441624966579844,0.0010920286328029883,0.01777566281333112,-0.032714430468999606,0.02642879226178327,-0.046218970747757465,0.06040046516462756,-0.2446830219469028,-0.028734859239231192,0.04748295208008368,-0.1104288803571144,0.7468807576700736,0.09930637676477744,-0.0797085526794086,0.1621217573206648,0.1071802332244013,-0.19160911045867457,-0.05549706562584576,-0.12813895668853464,0.03549625792849286,-0.1521533140149149,-0.05480968160388664,-0.018240731668576437,0.07404840029026881,-0.08536237613556956,-0.011361380206094179,-0.03217955653207032,0.006671317519622141,-0.0007153828697118603,-0.027248644530419832
5014,0.21561198900027778,-0.35046736776189885,0.1141031662552555,-0.11022298399210362,0.04331790184798229,0.41652184219082594,0.39012948981317014,0.12274336602156331,-0.12772390871012299,0.09572811562768536,-0.020068285461069226,-0.03868711548551107,0.058716055563165705,-0.06739063713132348,-0.03230929220134996,0.042622181544716406,0.11760980350847794,0.09667171148198067,0.03765409951461432,-0.008811524930995704,0.01000554123649227,-0.04010519889210012,0.03333026159422119,-0.046751402903833325,0.005032597010504187,-0.17180743652542518,-0.07661507865316063,0.06256808089926806,-0.14838825698220032,0.5143682882683327,0.06417204500426124,-0.06262183524910547,0.13762050974995038,0.22988801007106135,-0.12933192190180656,-0.04613572715836461,-0.05784767364132279,0.04776500348196171,-0.21889483142973176,-0.04883026233700164,0.00044747464148441263,0.06203690154112212,-0.054998416197534296,-0.00765997285319298,-0.02590260929240989,0.027260272844489834,0.007122085390922697,-0.02203590997125882
5019,0.1399895750305019,-0.03255641926988819,0.07896586599404862,0.003097632239856497,-0.029364216237733564,0.20595147812098763,0.25803625363589033,0.07936262074658047,-0.07332955180685409,0.17498945896159335,0.005425402695467664,-0.02277297125983372,0.056620104851729657,-0.06912467545908729,-0.10428518017174307,-0.006748087139540454,0.13491058548214752,0.09940020201928959,-0.01353026452455173,-0.0010974478777176708,0.005871699379184138,-0.036917311599548405,0.026976563724800878,-0.0367366839947829,-0.11806901040946693,-0.07460951160443917,-0.10934555575827958,0.030768790498689823,-0.21939117686842016,0.2657705389919701,0.04546129970643031,0.007279169050192658,0.07744117487053874,0.2874645121337235,-0.036364476608967064,-0.03920807024744583,0.031233009438305506,0.04883613144326277,-0.2629747653733968,-0.0178411865826999,0.01920175480145387,0.036631654542457905,0.00014577666575893018,-0.007023265518701531,-0.012059283965068768,0.04185847010410471,0.007393227456045775,-0.01888694600813137
5024,0.042400150248120015,0.24467159516911172,0.0685185189004083,0.1041968196749025,-0.09487550539903612,0.0017340217526309895,0.03419708435897694,0.011769975249932832,-0.0072305041253438885,0.19535929588753734,0.058576736562072844,0.0030048142262380888,0.06343268849835239,-0.06614983371823564,-0.1545642863853199,-0.05102267923287596,0.11833533461233844,0.08128960041513227,-0.052354235650855244,0.0227767972336892,0.00197867571154556,-0.01982443163932798,0.009735809322126417,-0.018188756653466313,-0.26017541972324454,0.028162654027145306,-0.11644475126084629,-0.03341490927578318,-0.26187267878012016,0.06825589164194311,0.06069246117492263,0.12478251921124994,-0.0028413553914989433,0.257965239550572,0.058190017904102914,-0.037693874620643296,0.10962389772742802,0.029432557871174932,-0.27441320658323587,0.024716842316967327,0.033045820587303446,0.003555488264992767,0.061396383360379954,-0.0038877664003373544,0.0029510748924544772,0.040957821968255335,0.0002161996216201798,-0.019015632073077292
5029,-0.04554348234524886,0.407232215387981,0.07961119105031127,0.16802486897551852,-0.12057941508322288,-0.1387343742967792,-0.20719664223738968,-0.054291544440972464,0.04998850521000623,0.15596418830367456,0.12301093656286198,0.02909779416272729,0.07636252475188156,-0.04789547845621751,-0.1755991819523791,-0.07278703765141123,0.07778532461164657,0.04537477247246205,-0.06774384968473372,0.0544068793777434,-0.006219471726541534,0.010124900870360106,-0.011851937742376787,0.004265214265620236,-0.36367130484542237,0.12023225631155182,-0.10185644002821852,-0.10084263786781845,-0.22450338677760845,-0.03954989026520294,0.10827462256732438,0.26662491377898184,-0.07988438087046738,0.14758307935815124,0.12211797148660276,-0.04016846088299124,0.15117447593542996,-0.01148693356902679,-0.249196629908842,0.05958274048158234,0.03872289869562364,-0.02881737026069744,0.10755230493429177,0.006098509980466069,0.011660589699058801,0.020779193142715893,-0.011285873072826509,-0.022079330444884516
5034,-0.09589767702986393,0.42191103475048847,0.1000759601225447,0.1779985901301941,-0.08968678241719942,-0.18552106303491683,-0.38483081738573316,-0.09319902172102618,0.07839477512102087,0.07559336906763814,0.1760798856234741,0.04484131552091578,0.08587577535723831,-0.009990566163707065,-0.17092744665463513,-0.062012054725617625,0.03146900692218129,0.0003196789508549688,-0.05768360932949574,0.08135191267031715,-0.021688391228913945,0.04669670998574008,-0.029638981417103808,0.024817272876775032,-0.38504321873199626,0.19031392856379245,-0.08007155221433603,-0.1391594561268006,-0.09193449720620524,-0.056197369657885465,0.1675524464745737,0.39535480923406024,-0.12903069790462382,-0.011822015270240053,0.13202817567187577,-0.04141117354860996,0.14202819646034476,-0.06423007390896707,-0.1896552018076932,0.06895086490618282,0.03616501269068735,-0.05218357306672273,0.12235622429864673,0.02373808333721938,0.0086603155306336,-0.014777062058892143,-0.022251100877982766,-0.02629031115873143
5039,-0.09415613124994057,0.3055105323890501,0.11493236857484872,0.13230012239366495,-0.00990018322782058,-0.14471035820483885,-0.4400613348725982,-0.08914155982395554,0.06599208467330321,-0.01416412045653352,0.19639949360648348,0.04218070660936567,0.08033780540023944,0.04352639918370918,-0.15147202818770258,-0.020376262320600372,-0.0020428186954922697,-0.04225744914054449,-0.029313253940053095,0.09189960716221499,-0.04341492383845317,0.07961412153762147,-0.03717476733275984,0.03839218915816494,-0.31337218484453044,0.23365054633899854,-0.06766146429340114,-0.12662801430151852,0.10350591689561034,-0.012813617036943146,0.20722496636958884,0.470783896576515,-0.13247291400612302,-0.17437315325251423,0.08312390326470995,-0.03509855064230422,0.08614078335410771,-0.11063535052378298,-0.10425684230987439,0.04384717521156047,0.028760446366360486,-0.06113893675957616,0.1006478271486841,0.045374941660433585,-0.006752359911236,-0.05522569227533921,-0.028082898803574265,-0.029114936934524754
5044,-0.0435892680339498,0.11365283331299365,0.11315302448240219,0.04478413712079695,0.08892340736822754,-0.05205881927738075,-0.35769627790008984,-0.041556022002341125,0.013504462090523986,-0.08073402911740159,0.17147083942617025,0.01838995182422435,0.05200157831468688,0.1017829507351461,-0.1289700823075785,0.03931980730875085,-0.011532201130627511,-0.071413374414226,0.0046380259345869795,0.07955651851751089,-0.06577964027127313,0.09756860858079051,-0.03218070581669608,0.04221721431916771,-0.17432599879621988,0.25153015812348856,-0.07441235239618367,-0.06157322650158409,0.29237939660997314,0.0436968007730317,0.19889317498218476,0.4643018275563433,-0.08556821424402224,-0.29668640610764796,-0.008578081543941572,-0.017294248765208214,0.0038270114746580216,-0.13075713046835194,-0.006281139122680086,-0.012081018865688277,0.021944785498893542,-0.054784563908593,0.05002986552548687,0.06400990292103947,-0.02988484934628616,-0.0874540276041287,-0.02626120941879658,-0.028279415231432393
5049,0.03616904560325983,-0.08212934201274984,0.09243212409469137,-0.058835367799965496,0.16572812817255927,0.04286756901522697,-0.17192742904670258,0.034763238644868424,-0.06456238215477406,-0.10200113946245075,0.1030404898817663,-0.022802637884716603,0.0018398082209772815,0.15105288436710185,-0.11025108889208249,0.0976235776304871,0.002636513589194419,-0.08004842021281233,0.030970582253009523,0.04573872400219299,-0.08002465030948462,0.09205815561968342,-0.01735652948117426,0.03658583662289477,-0.020455431749640984,0.2495043895295433,-0.09831254203498668,0.0356385568974911,0.3948079269332712,0.07072572706689413,0.13009475345527943,0.3710048508446208,0.00030643406904775353,-0.3521551194266955,-0.1113451972831714,0.01084324743816553,-0.07519027520240774,-0.11120040875104228,0.08787617133443978,-0.08321143295751682,0.02081369936891869,-0.03683883809226199,-0.01168451056667923,0.07184245056678296,-0.05203957514563827,-0.10062073996449952,-0.017288805911905628,-0.0226974091411704
